編號,單字,中文解釋
1,afraid,害怕的
2,afternoon,下午
3,agree,同意
4,airplane,飛機
5,all,全部
6,almost,幾乎
7,always,總是
8,angry,生氣的
9,animal,動物
10,answer,答案、回答
11,ant,螞蟻
12,arm,手臂
13,ask,問
14,baby,嬰兒
15,bag,袋子
16,bakery,麵包店
17,banana,香蕉
18,bank,銀行
19,baseball,棒球
20,basketball,籃球
21,bathroom,浴室
22,beach,海灘
23,bear,熊
24,beautiful,美麗的
25,bedroom,臥室
26,beef,牛肉
27,believe,相信
28,belt,腰帶、帶子
29,birthday,生日
30,bite,咬、啃
31,black,黑色
32,blackboard,黑板
33,blind,瞎的、盲的
34,blue,藍色
35,boat,船、小船
36,bookstore,書店
37,boss,老闆
38,bottle,瓶子
39,bowl,碗
40,breakfast,早餐
41,bridge,橋樑
42,brother,兄弟
43,brown,棕色、咖啡色
44,brush,刷、刷子
45,bus,公車
46,businessman,商人
47,busy,忙、忙碌
48,butter,奶油
49,buy,買
50,cake,蛋糕
51,camera,相機
52,candy,糖果
53,card,卡片
54,careful,小心的、仔細的
55,cat,貓
56,cell phone,手機
57,chair,椅子
58,chalk,粉筆
59,cheap,便宜的
60,cheat,欺騙、作弊
61,cheese,乳酪
62,chicken,雞肉
63,chocolate,巧克力
64,chopsticks,筷子
65,Christmas,聖誕節
66,church,教堂
67,circle,圓、圓圈
68,city,城市
69,classmate,同學
70,classroom,教室
71,clean,乾淨的
72,climb,爬、攀爬
73,clothes,衣服
74,cloudy,多雲
75,coat,大衣
76,coffee,咖啡
77,cold,冷的
78,collect,收集
79,color,顏色
80,come,來
81,computer,電腦
82,convenient,便利的
83,cook,煮、烹調、廚師
84,cookie,餅乾
85,cool,涼爽的
86,copy,影印、拷貝
87,couch,長沙發、睡椅
88,count,數數、計算
89,country,鄉村、國家
90,crazy,瘋狂的
91,cry,哭泣
92,cup,杯子
93,cute,可愛的
94,dance,跳舞
95,dangerous,危險的
96,dark,黑暗的
97,date,日期
98,daughter,女兒
99,decide,決定
100,delicious,美味的
101,department store,百貨公司
102,desk,書桌、桌子
103,dictionary,字典
104,different,不同的
105,dinner,晚餐
106,dirty,骯髒
107,dish,盤子
108,doctor,醫生
109,dodgeball,躲避球
110,doll,洋娃娃
111,dollar,元
112,door,門
113,Double Tenth Day,雙十節
114,dozen,一打
115,dream,夢想、作夢
116,dress,洋裝
117,drink,喝
118,driver,司機
119,dry,乾燥的、乾的
120,ear(s),耳朵
121,eat,吃
122,elephant,大象
123,eleven,十一
124,elf,小精靈
125,e-mail,電子郵件
126,English,英文、英語
127,eraser,橡皮擦、擦子
128,evening,傍晚、晚上
129,excellent,傑出的、優秀的
130,excited,刺激的、興奮的
131,expensive,昂貴的
132,eye(s),眼睛
133,face,臉
134,factory,工廠
135,family,家庭、家人
136,fan,電風扇
137,farmer,農夫
138,fast,快的
139,Father's Day,父親節
140,favorite,最愛的
141,fax,傳真
142,feel,感覺
143,finally,最後、終於
144,finger,手指
145,fish,魚
146,fisherman,漁夫
147,five,五
148,flower,花
